L1,L2,L3,switch
2.25,5.18,0.9,switch
2.6,2.66,2.47,not_switch
-0.9,-3.43,1.22,switch
6.21,6.21,6.36,not_switch
1.48,3.72,5.91,switch
5.7,5.6,5.64,not_switch
-3.49,-0.53,1.35,switch
4.39,4.39,4.45,not_switch
3.14,6.37,0.85,switch
1.82,1.79,1.83,not_switch
-1.78,0.14,-0.63,switch
5.88,5.72,5.77,not_switch
-1.93,-0.56,0.38,switch
1.02,1.11,0.94,not_switch
-2.7,0.58,-1.41,switch
2.72,2.9,2.7,not_switch
3.71,1.51,2.26,switch
4.12,4.22,4.14,not_switch
3.6,5.97,1.89,switch
3.5,3.33,3.41,not_switch
2.5,0.3,4.34,switch
0.43,0.46,0.47,not_switch
0.44,-0.88,-0.75,switch
0.5,0.31,0.49,not_switch
0.06,0.31,-1.06,switch
2.58,2.48,2.49,not_switch
-0.18,1.24,-3.29,switch
6.15,6.13,6.26,not_switch
3.67,1.11,4.41,switch
4.47,4.51,4.56,not_switch
5.46,3.65,1.11,switch
1.1,0.9,1.02,not_switch
0.55,-3.28,-1.56,switch
1.32,1.39,1.32,not_switch
0.13,-1.81,-0.94,switch
0.44,0.53,0.46,not_switch
2.15,3.35,5.78,switch
3.38,3.35,3.44,not_switch
3.82,6.1,1.7,switch
4.97,5.03,5.0,not_switch
0.9,2.67,6.13,switch
2.91,2.79,2.84,not_switch
0.95,5.82,3.7,switch
4.96,4.89,4.81,not_switch
1.54,2.21,5.94,switch
6.19,6.3,6.27,not_switch
4.6,1.95,2.85,switch
5.81,5.69,5.66,not_switch
4.78,3.33,1.19,switch
3.85,3.94,4.07,not_switch
1.82,3.88,1.96,switch
6.3,6.28,6.16,not_switch
2.45,6.16,2.98,switch
2.4,2.25,2.35,not_switch
-1.43,-1.85,0.94,switch
6.06,6.03,6.08,not_switch
3.36,1.87,4.91,switch
0.21,0.19,0.28,not_switch
-1.39,1.37,-1.91,switch
3.54,3.43,3.45,not_switch
1.28,5.95,3.15,switch
0.27,0.48,0.28,not_switch
2.01,5.46,1.32,switch
1.17,1.06,1.17,not_switch
2.53,0.81,5.95,switch
3.98,4.01,4.0,not_switch
-1.65,0.11,-0.17,switch
0.73,0.7,0.67,not_switch
6.03,2.27,2.56,switch
6.18,6.38,6.39,not_switch
3.68,6.48,2.39,switch
3.76,3.92,3.85,not_switch
4.42,2.18,0.75,switch
6.28,6.37,6.41,not_switch
-1.19,-0.71,-0.17,switch
0.52,0.4,0.51,not_switch
4.03,1.55,3.1,switch
3.53,3.69,3.64,not_switch
-2.06,1.11,-0.3,switch
4.04,4.03,4.07,not_switch
1.0,-0.69,-1.68,switch
1.01,1.18,1.21,not_switch
3.48,6.17,0.94,switch
1.47,1.45,1.54,not_switch
0.23,-0.25,-2.24,switch
4.88,4.87,4.91,not_switch
3.65,5.14,2.15,switch
3.82,3.79,3.73,not_switch
-0.26,-0.75,-0.15,switch
5.8,5.78,5.74,not_switch
1.88,1.86,3.73,switch
5.41,5.38,5.41,not_switch
1.36,-0.29,-2.18,switch
3.55,3.6,3.51,not_switch
0.62,3.49,4.42,switch
5.23,5.21,5.11,not_switch
4.56,1.46,1.6,switch
1.69,1.65,1.66,not_switch
1.12,2.98,4.12,switch
4.13,4.31,4.22,not_switch
1.52,1.16,5.06,switch
6.34,6.4,6.47,not_switch
1.0,3.45,5.74,switch
5.33,5.23,5.2,not_switch
2.45,5.58,3.44,switch
2.18,2.16,2.01,not_switch
-0.93,-1.43,-0.17,switch
0.31,0.29,0.41,not_switch
4.42,1.44,2.78,switch
3.38,3.47,3.54,not_switch
0.82,2.13,5.27,switch
3.3,3.24,3.15,not_switch
0.14,-3.15,-1.57,switch
1.11,0.95,1.11,not_switch
3.58,1.69,4.94,switch
5.55,5.65,5.56,not_switch
2.96,4.19,1.43,switch
1.43,1.58,1.45,not_switch
4.76,2.75,0.93,switch
6.26,6.28,6.29,not_switch
6.06,1.8,1.81,switch
3.75,3.94,3.92,not_switch
2.73,4.81,1.57,switch
3.96,3.96,4.09,not_switch
1.72,1.02,6.45,switch
0.85,0.99,0.81,not_switch
1.88,3.75,1.93,switch
2.68,2.58,2.55,not_switch
-2.92,-1.33,0.53,switch
4.61,4.4,4.5,not_switch
-1.45,-1.28,0.23,switch
4.82,4.85,4.89,not_switch
3.75,6.39,1.32,switch
4.06,4.22,4.08,not_switch
2.64,6.43,1.71,switch
3.48,3.46,3.45,not_switch
4.0,2.03,2.8,switch
1.41,1.42,1.41,not_switch
0.51,4.71,1.69,switch
5.48,5.31,5.4,not_switch
0.97,0.07,-2.53,switch
0.8,0.75,0.86,not_switch
1.2,4.1,2.5,switch
0.46,0.34,0.49,not_switch
0.99,-0.79,-0.67,switch
2.95,3.1,3.09,not_switch
2.73,5.12,2.02,switch
0.86,0.81,0.86,not_switch
0.91,1.84,4.85,switch
3.84,3.67,3.68,not_switch
2.57,3.55,1.16,switch
5.27,5.3,5.35,not_switch
0.32,5.58,2.55,switch
3.53,3.7,3.49,not_switch
0.16,-0.71,-2.02,switch
5.69,5.72,5.78,not_switch
-0.93,-0.03,-2.11,switch
3.95,4.13,4.11,not_switch
3.71,1.81,1.81,switch
6.14,6.13,6.09,not_switch
4.94,2.42,2.99,switch
4.48,4.44,4.54,not_switch
3.03,6.39,1.27,switch
3.54,3.7,3.66,not_switch
-0.64,-2.17,0.09,switch
3.52,3.67,3.65,not_switch
0.78,-3.46,-0.82,switch
5.84,5.69,5.64,not_switch
0.39,-0.19,-1.32,switch
4.95,4.99,5.03,not_switch
1.49,5.15,3.13,switch
6.08,6.0,6.09,not_switch
1.11,3.71,2.95,switch
4.18,4.26,4.1,not_switch
5.76,3.42,0.84,switch
2.51,2.62,2.47,not_switch
5.19,1.47,2.79,switch
1.48,1.36,1.38,not_switch
3.16,1.25,6.42,switch
3.54,3.66,3.7,not_switch
2.44,6.22,0.39,switch
3.75,3.66,3.66,not_switch
3.48,1.84,4.96,switch
0.95,0.86,0.89,not_switch
5.83,1.83,0.84,switch
5.43,5.51,5.43,not_switch
3.65,6.01,1.12,switch
3.94,4.15,4.14,not_switch
0.39,-1.9,-0.73,switch
5.2,5.16,5.04,not_switch
2.7,0.56,5.36,switch
2.41,2.38,2.36,not_switch
0.39,-2.38,-0.54,switch
4.99,5.12,5.13,not_switch
-1.25,-2.64,0.33,switch
2.37,2.39,2.43,not_switch
-0.86,0.04,-1.8,switch
3.39,3.36,3.28,not_switch
3.95,6.37,2.34,switch
3.03,3.16,3.2,not_switch
1.62,5.06,0.82,switch
2.47,2.38,2.53,not_switch
2.0,4.26,1.93,switch
5.57,5.49,5.61,not_switch
-1.22,1.38,-2.15,switch
2.44,2.5,2.44,not_switch
0.51,3.3,4.3,switch
1.56,1.44,1.58,not_switch
-0.03,-1.97,-3.19,switch
4.3,4.4,4.4,not_switch
1.13,3.62,1.68,switch
5.91,5.83,5.77,not_switch
-3.45,-0.53,-0.12,switch
1.72,1.66,1.71,not_switch
-0.02,-2.54,-0.52,switch
6.19,6.05,6.08,not_switch
1.94,3.14,4.02,switch
3.49,3.55,3.4,not_switch
1.78,4.3,2.65,switch
4.73,4.84,4.66,not_switch
6.33,2.38,3.1,switch
1.52,1.44,1.44,not_switch
-1.08,-2.11,-0.16,switch
5.48,5.49,5.45,not_switch
2.33,4.38,1.33,switch
4.07,4.12,4.12,not_switch
3.73,2.22,5.59,switch
2.08,2.0,2.03,not_switch
-1.78,-2.52,0.04,switch
1.18,1.36,1.24,not_switch
3.97,0.97,3.07,switch
1.92,1.84,1.77,not_switch
1.75,4.68,2.86,switch
6.16,6.14,6.11,not_switch
1.59,5.04,0.76,switch
4.51,4.56,4.43,not_switch
0.05,-0.17,-2.5,switch
1.92,1.8,1.81,not_switch
-0.21,0.89,-1.83,switch
2.91,3.04,3.06,not_switch
-0.01,-1.58,-0.99,switch
5.66,5.56,5.73,not_switch
0.49,3.36,4.16,switch
0.38,0.45,0.44,not_switch
-2.36,-1.57,0.55,switch
1.89,2.07,1.92,not_switch
1.93,1.82,6.36,switch
2.57,2.64,2.7,not_switch
1.66,1.79,5.74,switch
0.41,0.49,0.39,not_switch
2.98,4.01,2.42,switch
4.56,4.54,4.56,not_switch
2.47,4.77,3.41,switch
2.69,2.8,2.74,not_switch
0.89,3.57,2.81,switch
3.79,3.62,3.66,not_switch
-2.78,-1.97,0.56,switch
4.45,4.46,4.24,not_switch
4.84,0.62,3.43,switch
5.57,5.53,5.42,not_switch
-1.2,0.68,-3.25,switch
0.72,0.78,0.73,not_switch
2.36,4.6,2.7,switch
5.82,5.85,6.01,not_switch
-0.22,0.1,-1.79,switch
5.26,5.34,5.33,not_switch
2.61,1.24,4.68,switch
5.46,5.61,5.38,not_switch
1.88,1.35,4.35,switch
4.31,4.36,4.44,not_switch
0.2,-0.09,-1.09,switch
4.43,4.57,4.42,not_switch
3.29,0.86,4.45,switch
3.26,3.33,3.33,not_switch
-0.74,-2.28,-0.08,switch
4.49,4.47,4.44,not_switch
0.47,-0.63,-2.27,switch
3.14,3.2,3.22,not_switch
4.05,1.55,2.75,switch
1.5,1.62,1.6,not_switch
0.3,-1.72,-2.7,switch
3.5,3.63,3.61,not_switch
1.59,0.31,5.19,switch
4.89,4.85,4.78,not_switch
2.83,4.87,1.1,switch
5.55,5.55,5.73,not_switch
-1.01,0.33,-2.63,switch
5.79,5.88,5.87,not_switch
2.4,5.93,0.37,switch
6.3,6.24,6.12,not_switch
-0.02,-0.61,-0.19,switch
0.43,0.44,0.34,not_switch
5.85,3.54,0.88,switch
6.16,6.25,6.29,not_switch
1.28,1.9,3.9,switch
3.65,3.73,3.51,not_switch
4.58,1.71,3.77,switch
3.66,3.73,3.65,not_switch
0.16,0.85,-1.82,switch
5.83,5.68,5.71,not_switch
1.95,0.87,6.11,switch
0.62,0.74,0.74,not_switch
1.75,3.8,1.86,switch
3.78,3.82,3.73,not_switch
-0.87,0.1,-1.43,switch
2.17,2.16,2.05,not_switch
0.28,0.33,-2.5,switch
0.52,0.57,0.46,not_switch
-2.48,-1.33,0.45,switch
3.52,3.56,3.7,not_switch
-0.43,1.26,-3.21,switch
4.7,4.8,4.83,not_switch
3.43,5.75,0.42,switch
0.32,0.36,0.33,not_switch
-1.91,1.17,-0.95,switch
0.94,1.02,1.06,not_switch
3.94,1.14,1.59,switch
2.64,2.76,2.69,not_switch
-0.19,0.18,-2.02,switch
3.82,3.93,3.81,not_switch
0.45,-0.54,0.39,switch
1.47,1.49,1.59,not_switch
0.79,-0.77,-1.93,switch
6.06,6.04,5.98,not_switch
-2.35,0.48,0.4,switch
5.22,5.18,5.09,not_switch
2.16,2.61,5.22,switch
1.73,1.59,1.58,not_switch
2.82,4.03,2.38,switch
2.27,2.31,2.35,not_switch
2.91,4.24,1.04,switch
4.05,3.94,3.93,not_switch
2.53,1.93,5.1,switch
1.35,1.29,1.14,not_switch
0.37,-0.99,-1.46,switch
2.51,2.64,2.43,not_switch
1.96,2.31,5.92,switch
0.45,0.32,0.51,not_switch
-0.56,0.44,-0.4,switch
1.79,1.77,1.58,not_switch
1.39,2.08,6.15,switch
5.11,5.32,5.13,not_switch
2.07,5.05,3.4,switch
6.25,6.31,6.23,not_switch
2.61,5.93,0.66,switch
4.48,4.57,4.42,not_switch
-1.51,-1.32,0.3,switch
1.48,1.42,1.54,not_switch
0.56,6.3,3.21,switch
3.12,3.09,3.2,not_switch
-0.44,-0.64,1.36,switch
1.47,1.41,1.28,not_switch
0.66,4.97,3.22,switch
5.22,5.27,5.29,not_switch
-0.27,-3.44,0.91,switch
5.16,5.18,5.28,not_switch
4.51,3.09,0.48,switch
4.54,4.72,4.68,not_switch
-2.8,-0.1,0.16,switch
3.18,3.22,3.22,not_switch
1.37,4.9,1.54,switch
2.18,2.19,2.25,not_switch
4.56,1.55,1.53,switch
2.74,2.89,2.87,not_switch
4.45,0.53,2.17,switch
2.08,2.16,2.17,not_switch
2.56,0.97,5.43,switch
2.47,2.46,2.37,not_switch
-1.94,1.4,-1.0,switch
2.35,2.18,2.18,not_switch
1.26,-1.22,-0.98,switch
4.12,4.05,4.13,not_switch
4.16,1.89,2.88,switch
5.36,5.18,5.17,not_switch
-0.39,-2.16,1.39,switch
4.31,4.24,4.39,not_switch
6.19,2.09,2.55,switch
3.85,3.9,3.93,not_switch
4.72,1.64,3.64,switch
5.1,5.15,5.11,not_switch
0.25,-0.7,-1.49,switch
5.78,5.74,5.73,not_switch
1.89,6.3,2.62,switch
2.99,2.87,2.99,not_switch
-0.79,-0.18,0.12,switch
1.49,1.54,1.6,not_switch
-0.09,-1.29,0.16,switch
1.06,1.22,1.16,not_switch
6.22,3.77,1.19,switch
2.86,3.0,2.96,not_switch
1.97,6.45,3.98,switch
3.06,3.05,2.96,not_switch
0.86,3.56,2.09,switch
1.23,1.2,1.26,not_switch
0.1,1.13,-1.37,switch
5.34,5.32,5.28,not_switch
6.25,1.41,2.86,switch
3.31,3.31,3.23,not_switch
-1.16,-1.69,1.47,switch
0.5,0.66,0.55,not_switch
-1.96,-1.65,0.15,switch
6.25,6.23,6.22,not_switch
3.71,1.44,5.26,switch
0.48,0.46,0.54,not_switch
0.52,5.79,1.85,switch
2.6,2.76,2.78,not_switch
4.68,1.23,2.57,switch
5.71,5.71,5.78,not_switch
1.78,0.33,5.25,switch
1.8,1.66,1.65,not_switch
0.72,-1.54,-0.51,switch
0.88,1.02,0.86,not_switch
1.11,6.48,1.91,switch
6.55,6.46,6.42,not_switch
0.59,-1.39,0.21,switch
3.92,4.01,3.89,not_switch
0.74,3.55,4.22,switch
6.23,6.12,6.13,not_switch
5.14,3.51,1.69,switch
5.22,5.26,5.35,not_switch
-0.04,1.41,-2.06,switch
3.67,3.74,3.57,not_switch
0.32,-0.91,-1.32,switch
1.52,1.41,1.43,not_switch
3.86,6.24,1.37,switch
5.81,5.85,5.76,not_switch
-1.61,1.05,-1.04,switch
5.11,5.22,5.25,not_switch
0.69,3.45,5.19,switch
2.61,2.7,2.57,not_switch
-1.95,-3.3,1.39,switch
6.02,5.85,5.84,not_switch
3.73,1.05,4.11,switch
3.15,3.15,2.95,not_switch
0.03,1.4,-2.55,switch
2.81,2.75,2.88,not_switch
-1.9,0.23,-0.26,switch
3.79,3.85,3.84,not_switch
3.82,1.75,3.45,switch
2.03,2.1,2.19,not_switch
3.2,4.51,0.94,switch
0.65,0.49,0.63,not_switch
3.42,0.8,6.49,switch
2.84,2.8,2.81,not_switch
-1.26,1.1,0.01,switch
5.57,5.6,5.72,not_switch
4.69,1.13,1.82,switch
3.97,3.91,3.75,not_switch
3.13,3.86,1.2,switch
4.35,4.44,4.3,not_switch
0.77,2.15,4.42,switch
2.75,2.7,2.76,not_switch
-0.59,-0.64,-0.05,switch
6.15,6.05,6.17,not_switch
5.27,1.67,1.58,switch
5.99,6.12,6.15,not_switch
3.99,1.64,2.2,switch
4.71,4.65,4.71,not_switch
4.67,0.53,3.03,switch
1.54,1.54,1.73,not_switch
-0.73,1.41,-3.24,switch
2.7,2.67,2.64,not_switch
-2.34,0.18,1.32,switch
5.78,5.91,5.88,not_switch
6.35,0.86,3.11,switch
5.42,5.27,5.42,not_switch
-1.22,0.74,-1.56,switch
1.1,1.05,1.19,not_switch
3.77,6.49,0.97,switch
5.7,5.83,5.88,not_switch
1.85,6.09,3.42,switch
1.39,1.47,1.32,not_switch
4.58,2.6,2.18,switch
1.25,1.27,1.22,not_switch
-1.77,0.44,-1.0,switch
6.25,6.28,6.17,not_switch
1.76,5.17,0.61,switch
4.82,4.77,4.96,not_switch
3.25,4.54,1.58,switch
4.97,5.09,4.94,not_switch
-0.06,-0.4,-1.01,switch
6.46,6.49,6.43,not_switch
2.02,5.96,3.47,switch
0.69,0.62,0.64,not_switch
-0.48,-3.48,1.26,switch
4.86,4.86,4.74,not_switch
4.86,0.61,3.78,switch
3.13,2.93,2.94,not_switch
2.13,5.28,1.1,switch
0.62,0.6,0.58,not_switch
4.4,1.14,2.52,switch
2.45,2.41,2.56,not_switch
1.46,3.39,4.69,switch
3.15,3.15,3.2,not_switch
4.02,3.87,2.43,switch
0.92,1.09,0.95,not_switch
5.87,1.62,2.68,switch
1.94,1.88,1.86,not_switch
-1.66,-2.53,0.87,switch
4.3,4.21,4.21,not_switch
-0.79,-2.82,0.21,switch
4.83,4.89,4.89,not_switch
0.89,-1.6,-2.48,switch
5.11,5.12,5.03,not_switch
0.43,0.26,-1.45,switch
0.39,0.28,0.37,not_switch
1.63,6.14,0.48,switch
2.99,2.99,3.06,not_switch
2.23,4.22,1.97,switch
0.47,0.58,0.63,not_switch
-0.49,0.76,-1.15,switch
1.08,1.12,1.01,not_switch
1.69,1.83,4.15,switch
4.02,4.1,4.12,not_switch
2.4,0.69,4.78,switch
5.83,5.77,5.82,not_switch
-0.14,1.42,-2.28,switch
0.51,0.55,0.57,not_switch
1.98,5.84,1.55,switch
2.39,2.52,2.57,not_switch
4.32,2.21,1.39,switch
3.24,3.21,3.14,not_switch
-1.05,1.26,0.46,switch
6.4,6.49,6.53,not_switch
0.93,3.09,4.47,switch
5.76,5.72,5.85,not_switch
3.87,5.87,2.09,switch
3.04,3.02,2.83,not_switch
0.9,2.04,5.17,switch
1.34,1.18,1.2,not_switch
3.82,5.06,1.83,switch
3.14,2.98,2.93,not_switch
-1.98,1.37,0.36,switch
5.79,5.75,5.7,not_switch
0.53,-1.67,-2.67,switch
5.38,5.49,5.49,not_switch
0.08,-2.12,-0.17,switch
5.52,5.43,5.59,not_switch
-1.68,1.48,-0.08,switch
4.64,4.73,4.6,not_switch
1.64,6.41,1.16,switch
6.32,6.21,6.2,not_switch
1.71,3.5,4.2,switch
5.69,5.6,5.67,not_switch
2.17,4.04,3.57,switch
0.8,0.79,0.93,not_switch
4.2,3.31,0.98,switch
3.56,3.48,3.36,not_switch
5.37,3.32,1.77,switch
3.75,3.58,3.79,not_switch
2.3,1.31,5.55,switch
1.7,1.58,1.67,not_switch
1.34,3.31,5.17,switch
4.25,4.25,4.18,not_switch
1.79,2.75,5.66,switch
5.89,5.91,5.86,not_switch
3.66,5.47,1.64,switch
3.4,3.54,3.36,not_switch
-0.19,-0.7,-0.47,switch
3.56,3.53,3.42,not_switch
5.71,0.6,3.73,switch
6.14,6.15,6.31,not_switch
0.24,0.24,-1.42,switch
4.51,4.51,4.32,not_switch
1.36,-1.78,-2.92,switch
3.24,3.37,3.38,not_switch
6.47,1.68,2.72,switch
1.39,1.4,1.39,not_switch
1.22,0.5,-1.87,switch
1.51,1.56,1.45,not_switch
-2.43,-0.18,-0.3,switch
2.86,3.04,2.88,not_switch
1.03,-3.48,0.12,switch
6.1,5.99,6.06,not_switch
0.53,0.23,-2.14,switch
5.05,4.98,5.13,not_switch
4.38,0.36,2.16,switch
0.95,0.91,0.98,not_switch
0.63,3.0,6.49,switch
4.03,4.2,4.07,not_switch
0.59,2.79,5.58,switch
5.03,5.07,4.93,not_switch
0.93,4.38,3.87,switch
2.51,2.51,2.41,not_switch
-0.97,-1.2,-0.12,switch
4.88,4.79,4.77,not_switch
1.61,4.24,2.74,switch
5.74,5.71,5.64,not_switch
-1.17,-0.22,1.48,switch
2.55,2.66,2.6,not_switch
-0.83,-1.58,0.73,switch
3.63,3.74,3.65,not_switch
5.09,3.35,1.65,switch
5.01,4.91,5.05,not_switch
-1.19,0.65,-1.25,switch
1.88,1.7,1.9,not_switch
5.33,1.71,2.17,switch
2.7,2.63,2.62,not_switch
5.9,3.08,1.88,switch
4.62,4.45,4.59,not_switch
5.01,1.73,3.24,switch
2.47,2.49,2.48,not_switch
1.56,2.2,5.26,switch
0.74,0.61,0.67,not_switch
0.53,1.84,3.57,switch
2.68,2.68,2.72,not_switch
4.68,3.48,1.72,switch
4.71,4.72,4.69,not_switch
3.0,4.97,2.09,switch
0.67,0.65,0.7,not_switch
2.64,1.6,5.55,switch
3.97,3.97,3.86,not_switch
3.32,1.01,5.75,switch
5.8,5.73,5.87,not_switch
-1.1,0.77,-3.22,switch
3.79,3.67,3.72,not_switch
1.81,4.99,3.71,switch
4.18,4.16,4.22,not_switch
1.43,1.51,6.24,switch
4.71,4.85,4.9,not_switch
0.93,4.08,3.43,switch
5.57,5.65,5.65,not_switch
0.95,2.64,6.46,switch
3.74,3.77,3.83,not_switch
-3.11,1.08,0.03,switch
5.52,5.6,5.54,not_switch
2.84,4.87,1.19,switch
6.26,6.2,6.25,not_switch
-1.72,1.34,-0.91,switch
4.72,4.65,4.7,not_switch
1.62,6.06,0.52,switch
4.4,4.4,4.34,not_switch
-1.8,0.09,-2.33,switch
2.08,1.92,1.95,not_switch
0.27,1.35,-2.36,switch
5.18,5.25,5.31,not_switch
-0.87,-3.28,0.7,switch
2.64,2.79,2.72,not_switch
3.26,1.0,4.12,switch
6.53,6.43,6.37,not_switch
-1.6,0.77,-0.34,switch
3.06,3.21,3.14,not_switch
6.13,2.21,0.5,switch
6.27,6.09,6.14,not_switch
3.95,2.0,5.38,switch
3.26,3.16,3.29,not_switch
2.28,5.82,1.81,switch
4.64,4.77,4.77,not_switch
2.22,3.28,5.85,switch
4.5,4.66,4.59,not_switch
0.08,-0.93,-2.22,switch
3.37,3.33,3.38,not_switch
3.01,0.36,3.53,switch
1.97,2.08,2.15,not_switch
2.69,0.51,4.35,switch
4.08,4.08,4.0,not_switch
1.83,1.92,4.45,switch
0.72,0.69,0.76,not_switch
-0.02,-2.56,-1.42,switch
3.83,3.75,3.87,not_switch
2.27,4.52,1.86,switch
2.73,2.77,2.71,not_switch
-0.91,0.69,-1.48,switch
5.41,5.43,5.51,not_switch
1.95,2.75,5.78,switch
1.38,1.49,1.3,not_switch
1.52,2.27,5.06,switch
5.81,5.78,5.73,not_switch
3.72,2.63,0.42,switch
1.36,1.21,1.29,not_switch
5.89,0.43,3.4,switch
0.76,0.93,0.75,not_switch
-0.21,0.89,-1.09,switch
2.72,2.85,2.8,not_switch
1.04,0.37,-3.1,switch
1.69,1.72,1.67,not_switch
2.73,4.43,1.19,switch
5.96,5.91,5.98,not_switch
3.8,1.94,0.72,switch
2.41,2.35,2.35,not_switch
1.88,6.24,2.78,switch
1.52,1.54,1.41,not_switch
4.75,2.94,0.61,switch
0.82,0.91,0.89,not_switch
4.41,1.93,2.49,switch
1.98,1.88,2.03,not_switch
-1.93,-1.93,0.71,switch
3.91,4.01,3.97,not_switch
0.62,-3.0,-1.17,switch
2.58,2.46,2.46,not_switch
3.31,5.2,1.1,switch
6.01,5.81,5.85,not_switch
3.01,1.06,4.48,switch
0.51,0.57,0.37,not_switch
1.45,3.47,6.27,switch
6.07,6.03,6.02,not_switch
2.15,4.63,2.72,switch
6.28,6.29,6.09,not_switch
4.2,2.75,0.65,switch
2.96,3.03,2.8,not_switch
1.34,-1.24,-2.65,switch
2.07,2.22,2.21,not_switch
1.91,2.32,4.31,switch
0.72,0.88,0.74,not_switch
2.88,1.6,6.18,switch
3.76,3.81,3.82,not_switch
4.25,1.36,2.54,switch
1.74,1.61,1.7,not_switch
0.09,0.97,-0.74,switch
1.22,1.4,1.23,not_switch
-2.99,1.39,-1.84,switch
2.22,2.27,2.09,not_switch
1.43,5.85,3.26,switch
3.49,3.5,3.49,not_switch
6.02,0.62,3.27,switch
6.38,6.4,6.34,not_switch
0.83,-1.58,-1.59,switch
3.08,3.02,3.05,not_switch
6.42,3.08,1.77,switch
1.77,1.7,1.74,not_switch
0.15,-1.03,-1.3,switch
2.46,2.38,2.5,not_switch
-0.94,0.24,-1.73,switch
6.22,6.42,6.37,not_switch
5.93,3.09,2.18,switch
2.11,2.18,2.12,not_switch
1.74,5.99,0.36,switch
3.15,3.35,3.32,not_switch
3.74,5.65,0.92,switch
3.26,3.24,3.24,not_switch
-0.51,1.36,-1.59,switch
4.05,4.19,4.2,not_switch
0.47,6.46,2.87,switch
4.83,4.76,4.83,not_switch
1.63,3.7,5.29,switch
0.73,0.76,0.64,not_switch
5.64,1.21,3.74,switch
5.15,5.15,5.18,not_switch
4.33,2.89,1.98,switch
3.97,3.85,3.86,not_switch
5.42,0.86,2.69,switch
2.83,3.0,2.99,not_switch
5.33,1.36,1.86,switch
6.12,6.14,6.29,not_switch
5.64,2.25,3.6,switch
0.43,0.57,0.55,not_switch
0.2,-3.19,1.3,switch
1.29,1.26,1.28,not_switch
2.91,5.93,1.55,switch
2.04,2.06,2.21,not_switch
2.84,5.56,1.29,switch
5.3,5.49,5.33,not_switch
3.91,2.54,1.26,switch
0.84,0.94,0.91,not_switch
